epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,404.482,0.47181,0.68426,0.53741,1.00864,1,0.9962,0.995,0.78914,1,0.9962,0.995,0.46485,0.55262,5.29212,1.42344,0.97616,0.00170505,0.00170505,0.00170505
96,408.891,0.45552,0.57503,0.54565,1.00291,0.98432,0.99642,0.99453,0.84618,0.98432,0.99642,0.99453,0.67984,0.53481,1.46209,1.17892,1.08718,0.00172131,0.00172131,0.00172131
97,413.473,0.42589,0.68412,0.45949,1.0076,0.94204,0.95238,0.98208,0.84486,0.94204,0.95238,0.98208,0.78075,0.56026,0.73172,1.14498,1.09047,0.00173752,0.00173752,0.00173752
98,418.014,0.45382,0.64901,0.49208,1.0385,0.74039,0.85714,0.89969,0.50087,0.74039,0.85714,0.89969,0.55299,0.80273,0.53116,1.8897,1.24734,0.0017537,0.0017537,0.0017537
99,422.975,0.50628,0.67938,0.50938,1.06948,0.62342,0.8254,0.73528,0.23424,0.65668,0.85714,0.75428,0.3002,1.36042,0.52087,2.404,1.5481,0.00176984,0.00176984,0.00176984
100,427.526,0.47756,0.67461,0.51366,1.04675,0.34991,0.53968,0.37522,0.20625,0.49305,0.52381,0.5121,0.26373,1.33025,0.60358,2.11131,1.38403,0.00178594,0.00178594,0.00178594
101,432.216,0.46715,0.66797,0.54561,1.0452,0.78313,0.80253,0.89614,0.68416,0.76132,0.86075,0.90284,0.70465,0.62126,0.55104,1.17214,0.99388,0.001802,0.001802,0.001802
102,436.999,0.46345,0.55139,0.46446,1.04916,0.89413,1,0.985,0.86512,0.89413,1,0.985,0.84644,0.58404,0.6146,0.87483,1.22992,0.00180002,0.00180002,0.00180002
103,441.659,0.43555,0.5937,0.50849,1.01692,0.96413,0.93651,0.98905,0.83666,0.96413,0.93651,0.98905,0.83268,0.63486,0.58924,0.96711,1.34006,0.00179804,0.00179804,0.00179804
104,446.179,0.42902,0.6681,0.48072,1.01475,0.98157,0.8454,0.96376,0.74767,0.98157,0.8454,0.96376,0.75244,0.65798,0.8107,1.32891,1.09471,0.00179606,0.00179606,0.00179606
105,450.59,0.48141,0.65694,0.51262,1.04119,0.99712,0.87302,0.94386,0.64364,0.99712,0.87302,0.94386,0.69525,0.95615,1.07504,1.28295,1.46078,0.00179408,0.00179408,0.00179408
